"№ сертификата","Дата внесения в реестр","Срок действия сертификата","Наименование средства (шифр)","Наименования документов, требованиям которых соответствует средство","Схема сертификации","Испытательная лаборатория","Орган по сертификации","Заявитель","Реквизиты заявителя (индекс, адрес, телефон)","Информация об окончании срока технической поддержки, полученная от заявителя"
"4904","2025-01-27","2030-01-27","автоматизированная система управления дискретным производством «Призма». Платформа","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГУП «ВНИИА»","127030, г. Москва, ул. Сущевская, дом 22, (499) 978-78-03",""
"4905","2025-01-27","2030-01-27","программное обеспечение «Система управления базами данных Arenadata Prosperity (ADP)»","Соответствует требованиям документов: Требования доверия(4), Требования к СУБД(4)","серия","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Аренадата Софтвер»","129085, г. Москва, ул. Годовикова, д. 9, стр. 17, этаж 8, помещение 4, (495) 788-9999",""
"4906","2025-02-24","2030-02-24","АРМ в защищенном исполнении линейки Базальт","Соответствует требованиям документов: Требования ТЗИ, ТУ","серия","ООО «НИЦ-СПЕЦТЕСТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Крафтвэй корпорэйшн ПЛС»","249032, Калужская обл., г. Обнинск, ш. Киевское, д. 64, (495) 969-2400",""
"4908","2025-02-03","2030-02-03","программное обеспечение «Авандок»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО НПП «ЭПБ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «КОРУС Консалтинг ДМ»","191119, г. Санкт-Петербург, ул. Марата, д. 55/5, литера А, помещ. 5-Н, Перов Павел Андреевич - 7 (921) 751 5243 ответственный за сертификацию (почта: pperov@korusconsulting.ru)",""
"4909","2025-02-03","2030-02-03","Dr.Web Mobile Security Suite (Аврора)","Соответствует требованиям документов: Требования доверия(4), Требования к САВЗ, Профиль защиты САВЗ(В четвертого класса защиты. ИТ.САВЗ.В4.ПЗ), Профиль защиты САВЗ(Г четвертого класса защиты. ИТ.САВЗ.Г4.ПЗ)","серия","ООО НТЦ «Фобос-НТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Доктор Веб»","125124, г. Москва, 3-я улица Ямского поля, вл. 2, корп. 12А, (495) 789-4587",""
"4910","2025-02-04","2030-02-04","программно-аппаратный комплекс Cloud Storage от VK","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «НПО «Эшелон»","АО Центр «Атомзащитаинформ»","ООО «ВК Цифровые Технологии»","125167, г. Москва, Ленинградский проспект, д. 39, стр. 79, (495) 725-6357",""
"4911","2025-02-07","2030-02-07","изделие VMmanager 6","Соответствует требованиям документов: Требования доверия(4), Требования к средствам виртуализации(4)","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Экзософт»","121205, г. Москва, б-р Большой, (Сколково Инновационного Центра), д. 42, стр. 1, эт. 0, пом. 150, раб. 1​, (800) 775-4778",""
"4912","2025-02-13","2030-02-13","система управления событиями информационной безопасности U-SIEM","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «Информакустика»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Амбрелла»","142172, г. Москва, г. Щербинка, ул. Железнодорожная, д. 39, стр. 1",""
"4913","2025-02-13","2030-02-13","система управления базами данных RT.WareHouse (RTWH)","Соответствует требованиям документов: Требования доверия(4), Требования к СУБД(4)","серия","ООО «ЛИССИ-Софт»","ФСТЭК России","ООО «ТДата»","119415, г. Москва, пр-кт Вернадского, д. 41, офис 1012, (939) 840-62 95",""
"4914","2025-02-14","2030-02-14","подсистема защиты информации системы автоматического прокторинга «Экзамус»","Соответствует требованиям документов: Требования доверия(4), РД СВТ(5), ТУ","серия","АО «Лаборатория ППШ»","АО «НПО «Эшелон»","ООО «КИТ»","620100, Свердловская обл., г. Екатеринбург, ул. Ткачей, д. 23, пом. 1107, (343) 379-9834",""
"4915","2025-02-27","2030-02-27","программное обеспечение «Татлин-Обджект»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «КНС ГРУПП»","123376, г. Москва, ул. Рочдельская, д. 15, стр. 15, (495) 540-5055",""
"4916","2025-02-26","Бессрочно","прикладное программное обеспечение «Почтовый портал»","Соответствует требованиям документов: Требования доверия(6)","1","ФГУП «НПП «Гамма»","ФСТЭК России","Минпромторг России","109074, г. Москва, Китайгородский пр., д. 7, (495) 539-2166",""
"4917","2025-03-03","2030-03-03","Picodata Grid","Соответствует требованиям документов: Требования доверия(4), Требования к СУБД(4)","серия","АО НПП «ЭПБ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Пикодата»","129085, г. Москва, вн.тер.г. муниципальный округ Останкинский, ул. Годикова, д. 9, стр. 17, эт. 8, часть пом. 4, +7(495) 846-8041",""
"4918","2025-03-06","2030-03-06","программное средство защиты информации «Управление корпоративными мастер-данными Юниверс»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО НТЦ «Фобос-НТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Юниверс Дата»","197198, г. Санкт-Петербург,  вн.тер.г. муниципальный округ Чкаловское, ул. Красного Курсанта, д. 25, литера В, помещ. 2-Н, ком. 523, (812) 677-2186",""
"4919","2025-03-05","2030-03-05","программное обеспечение «Система информационной поддержки жизненного цикла изделий Intermech Professional Solutions Certified»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО НПП «ЭПБ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Интерком»","125040, г. Москва, 3-я ул. Ямского Поля, д. 18, (495) 822-5588",""
"4920","2025-03-07","2030-03-07","программный комплекс медицинская информационная система «Ариадна»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО НТЦ «Фобос-НТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Решение»","Измайловский пр-т, д. 29, лит. И, пом. 22Н, г. Санкт-Петербург, 190095, (812) 337-7007",""
"4921","2025-03-25","2030-03-25","программное обеспечение «Центр управления пользователями (ЦУП) версия 2.0»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО «ТЕХКОНСУР»","ООО «ЦБИ»","ООО «ЭйТи Консалтинг»","127015, г. Москва, ул. Большая Новодмитровская, д. 14, стр. 7, оф. 523, (495) 748-0575",""
"4922","2025-04-01","2030-04-01","Система активной защиты речевой информации Гром-И-6","Соответствует требованиям документов: ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ИНФОПРО»","125047, г. Москва, ул. Брестская 2-я, д. 8, пом. XV, ком. 23, (495) 319-1618, (800) 555-8505",""
"4923","2025-04-04","2030-04-04","система защиты от целенаправленных атак AVSOFT ATHENA","Соответствует требованиям документов: Требования доверия(4), Требования к СОВ, Профили защиты СОВ(cети четвертого класса защиты. ИТ.СОВ.С4.ПЗ)","серия","АО «НПО «Эшелон»","АО Центр «Атомзащитаинформ»","ООО «АВ Софт»","119992, г. Москва, ул. Ленинские Горы, д. 1, стр. 75А",""
"4924","2025-04-24","2030-04-24","однонаправленный шлюз передачи данных с возможностью их ответвления","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «НИЦ»","117246, г. Москва, Научный проезд, д. 6, эт. 1, пом. 1, ком. 32, (495) 204-2086",""
"4925","2025-04-09","2030-04-09","система анализа защищенности программного и аппаратного обеспечения TCP/IP сетей (сетевой сканер Ревизор Сети версия 3.0)","Соответствует требованиям документов: Требования доверия(2), ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Профиль Защиты»","141090, Московская обл., г. Королев, мкр. Юбилейный, ул. Пионерская, д. 1/4, пом. XXXXI",""
"4926","2025-04-17","2030-04-17","программное обеспечение «Юнигейт»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «НПО «Эшелон»","АО Центр «Атомзащитаинформ»","ООО «Кама Технологии»","614068, Пермский край, г. Пермь, ул. Ленина, д. 77а, этаж 3, (342) 254-04-30",""
"4927","2025-04-11","2030-04-11","система управления базами данных RT.WideStore (RTWS)","Соответствует требованиям документов: Требования доверия(4), Требования к СУБД(4)","серия","ООО «ЛИССИ-Софт»","ФСТЭК России","ООО «ТДата»","119415, г. Москва, пр-кт Вернадского, д. 41, офис 1012, (939) 840-62 95",""
"4928","2025-04-22","2030-04-22","платформа виртуализации «Sharx Base» версия 6.0","Соответствует требованиям документов: Требования доверия(4), ТУ, Требования к средствам виртуализации(4)","серия","АО «НПО «Эшелон»","АО Центр «Атомзащитаинформ»","ООО «Шаркс ДЦ»","125047, г. Москва, вн.тер.г. муниципальный округ Тверской, 4-й Лесной пер., д. 4, (495) 227-4440",""
"4929","2025-04-22","2030-04-22","программное обеспечение «I-DS/Security», INDS.IDSS.001","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «ИндаСофт»","109202, г. Москва, Перовское шоссе, дом 9, стр. 1, комн. 104, 499-3009987",""
"4930","2025-04-22","Бессрочно","автоматизированная информационная система «Автоматизация процессов регионального оператора»","Соответствует требованиям документов: Требования доверия(5), ТУ","1","АО «НПО «Эшелон»","АО Центр «Атомзащитаинформ»","ООО «А.ПРО»","127273, г. Москва, вн. тер. г. муниципальный округ Останкинский, ул. Аллея Берёзовая, д. 14Б, стр. 3, помещ. 12/Н, +7(495)109-10-89",""
"4931","2025-04-25","2030-04-25","доверенный сетевой адаптер для вычислительных сетей «TRUST NET»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АНО «Институт инженерной физики»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «ЦБИ»","141090, Московская область, г. Королев, микрорайон Юбилейный, ул. Ленинская, д. 11, (495) 543-3060",""
"4932","2025-04-28","2030-04-28","программный комплекс «Система мониторинга и управления событиями безопасности Smart Monitor»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «ВолгаБлоб»","123610, г. Москва, вн.тер.г. муниципальный округ Пресненский, наб. Краснопресненская, д. 12, пом. 1130В",""
"4933","2025-04-30","2030-04-30","программный комплекс «КИБ Серчинформ 6.0»","Соответствует требованиям документов: Требования доверия(4), Требования к СКН, Профиль защиты СКН(контроля подключения съемных машинных носителей информации четвертого класса защиты. ИТ.СКН.П4.ПЗ), ЗБ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «СерчИнформ»","121069, Москва, Скатертный переулок, д. 8/1, стр. 1, пом. I, комн. 2, (495) 721-8406
доб. 129 офисменеджер Ожегова",""
"4934","2025-05-05","2030-05-05","средство виртуализации «Звезда»","Соответствует требованиям документов: Требования доверия(4), Требования к средствам контейнеризации(4), Требования к средствам виртуализации(4)","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «НПЦ «МАКС»","119270, г. Москва, наб. Лужнецкая, д. 6, стр. 1, вн. тер. муниципальный округ Хамовники,",""
"4935","2025-05-19","2030-05-19","программно-инструментальный комплекс «Integrity SCADA»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ЭлеСи»","634021, г. Томск, ул. Алтайская, д. 161А, (3822) 601-001",""
"4936","2025-05-20","2030-05-20","операционная система реального времени TeNIX RT (OCPB TeNIX RT)","Соответствует требованиям документов: Требования доверия(5), Требования к ОС, Профиль защиты ОС(В пятого класса защиты. ИТ.ОС.В5.ПЗ)","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ООО «ЦБИ»","АО «ТеконГруп»","123423, г. Москва, ул. 3-я Хорошевская, д. 20, эт.1, ком.112",""
"4937","2025-05-22","2030-05-21","программное обеспечение «Docs Security Suite»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО НТЦ «Фобос-НТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Кросстех Солюшнс Групп»","108811, г. Москва, вн.тер.г. муниципальный округ Солнцево, ш. Киевское, км. 22-й, д. 6А, стр. 1, (495) 532-10-96",""
"4938","2025-05-23","2030-05-23","программное средство «Руководство данными Юниверс»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО НТЦ «Фобос-НТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Юниверс Дата»","197198, г. Санкт-Петербург,  вн.тер.г. муниципальный округ Чкаловское, ул. Красного Курсанта, д. 25, литера В, помещ. 2-Н, ком. 523, (812) 677-2186",""
"4939","2025-05-28","2030-05-28","Arenadata Catalog","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО НПП «ЭПБ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «ДатаКаталог»","129085, г. Москва, вн. тер. г. муниципальный округ Останкинский, ул. Годовикова, д. 9, стр. 17, этаж 8, часть помещения 4",""
"4941","2025-06-09","2030-06-09","программное обеспечение Цифровая платформа «Авангард»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «КВАРТА ВК»","109240, г. Москва, вн. тер.г. муниципальный округ Таганский,  наб. Москворецкая, д. 9, стр. 1, помещ./эт. 3/0/2, помещ./ком. III;IV/1-8, 8А, 9-18, 18А, 19-21, 5, 8, (495) 926-5423",""
"4942","2025-06-11","2030-06-11","программное обеспечение «Среда анализа и визуализации рисков в управленческих системах (САВРУС)»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО «Газинформсервис»","ООО «ЦБИ»","ООО «САВРУС»","125445, г. Москва, ул. Смольная, д. 24А, этаж 10, офис №1029, 915 138 80 30",""
"4943","2025-06-17","2030-06-17","программное обеспечение «NOVA Container Platform Special Edition»","Соответствует требованиям документов: Требования доверия(4), Требования к средствам контейнеризации(4)","серия","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «ОРИОН»","119048, г. Москва, ул. Доватора, д. 4/7",""
"4944","2025-06-17","2030-06-17","ViPNet Coordinator IG 5","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(А четвертого класса защиты. ИТ.МЭ.А4.ПЗ), Профиль защиты МЭ(Б четвертого класса защиты. ИТ.МЭ.Б4.ПЗ), Профиль защиты МЭ(Д четвертого класса защиты. ИТ.МЭ.Д4.ПЗ), ЗБ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ИнфоТеКС»","125167, г. Москва, вн.тер.г. муниципальный округ Хорошевский, ул. Викторенко, д. 9, стр. 1, помещ. 47, (495) 737-6192",""
"4945","2025-06-19","2030-06-19","программное обеспечение «Планета. Платформа»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО НПП «ЭПБ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «ИБС Экспертиза»","127434, г. Москва, Дмитровское ш., д. 9Б, (495) 967-8080",""
"4946","2025-07-01","Бессрочно","программное обеспечение информационной системы «TF DOCs в защищенном исполнении»","Соответствует требованиям документов: Требования доверия(2), ТУ","20","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГУП «РФЯЦ – ВНИИТФ им. академ. Е.И. Забабахина»","456770, Челябинская обл., г. Снежинск, ул. Васильева, д. 13, (35146) 5-51-20",""
"4947","2025-06-24","Бессрочно","программное обеспечение «Федеральная государственная система «Аргус-Фито» (версия 1)","Соответствует требованиям документов: Требования доверия(4), ТУ","5","ООО «ТЕХКОНСУР»","ФСТЭК России","Федеральная служба по ветеринарному и фитосанитарному надзору","107996, Москва, Орликов переулок, 1/11, +7 (495) 607 87-11",""
"4948","2025-06-16","2030-06-16","Генератор шума «ЛГШ-515»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(А)","серия","АО «Лаборатория ППШ»","АО «БИТК»","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170",""
"4949","2025-06-16","2030-06-16","Комплекс оценки эффективности защиты речевой информации от утечки по акустическим и виброакустическим каналам «Спрут-11М-02»","Соответствует требованиям документов: Методика АВАК-2022","серия","АО «БИТК»","ООО «ЦБИ»","ЗАО НПЦ Фирма «НЕЛК»","109377, г. Москва, ул. 1-я Новокузьминская, дом 8/2, (495) 921-3374",""
"4950","2025-06-30","Бессрочно","Прикладное программное обеспечение «Система облачной синхронизации процессов обработки информационных объектов»","Соответствует требованиям документов: Требования доверия(6), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","ГКУ «Инфогород»","123112, г. Москва, 1-й Красногвардейский проезд, д. 21, стр. 1, (495) 957-0131",""
"4951","2025-07-07","2030-07-07","программный комплекс КАТС «МиниКом МХ-1000» в защищенном исполнении","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ФГУП «НПП «Гамма»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Информтехника и Связь»","107140, г. Москва, ул. Верхняя Красносельская, д. 2/1, стр. 1, (495) 646-6731",""
"4952","2025-07-11","Бессрочно","прикладное программное обеспечение «Универсальный модуль проверки прав доступа к объектам» федеральной государственной информационной системы «Единый портал государственных и муниципальных услуг (функций)»","Соответствует требованиям документов: Требования доверия(4), ТУ","100","ООО «КБ-Лаб»","ФСТЭК России","Минцифры России","123112, г. Москва, Пресненская наб., д. 10, стр. 2, (495) 771-8000",""
"4953","2025-07-11","2030-07-11","программный комплекс «InfoWatch ARMA Стена»","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(Б четвертого класса защиты. ИТ.МЭ.Б4.ПЗ), Профиль защиты МЭ(Д четвертого класса защиты. ИТ.МЭ.Д4.ПЗ), Требования к СОВ, Профили защиты СОВ(cети четвертого класса защиты. ИТ.СОВ.С4.ПЗ), ЗБ","серия","АО «Лаборатория ППШ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «ИнфоВотч АРМА»","121357, г. Москва, Верейская ул., д. 29, стр. 134, эт. 7, комната В12, (495) 229-0022",""
"4954","2025-07-15","2030-07-15","программный комплекс «AlterOffice»","Соответствует требованиям документов: Требования доверия(4)","серия","ООО «КБ-Лаб»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «АЛМИ Партнер»","603081, Нижегородская, г. Нижний Новогород, ул. Нартова, д. 6, помещ. П1А, (495) 150-07-80",""
"4955","2025-07-16","2030-07-16","Программно-аппаратный комплекс безопасной коммутации устройств ввода-вывода информации «Триод»","Соответствует требованиям документов: Требования ТЗИ","серия","МГТУ им. Н.Э.Баумана","АО «БИТК»","ООО «ЦБИ»","141090, Московская область, г. Королев, микрорайон Юбилейный, ул. Ленинская, д. 11, (495) 543-3060","2030-12-31"
"4957","2025-07-22","Бессрочно","программное обеспечение биометрической идентификации иностранных граждан и лиц без гражданства в пунктах пропуска через Государственную границу Российской Федерации","Соответствует требованиям документов: Требования доверия(4), ТУ","1","АО «НПО «Эшелон»","ФСТЭК России","МВД России","119049, г. Москва, ул. Житная, д. 16, (495) 667-5206",""
"4958","2025-07-24","2030-07-24","Мобильное защищенное автоматизированное рабочее место «Базовый доверенный модуль»","Соответствует требованиям документов: Требования доверия(5), Требования к СДЗ, Профиль защиты СДЗ(загрузочной записи  пятого класса защиты. ИТ.СДЗ.ЗЗ5.ПЗ)","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ЭЛВИС-ПЛЮС»","124527, г. Москва, г. Зеленоград, Солнечная аллея, д. 6, помещение VI, офис 7, (495) 276-0211",""
"4959","2025-07-24","Бессрочно","программное обеспечение Система моделирования ИТ-архитектуры (ИС «МИТА»)","Соответствует требованиям документов: Требования доверия(4), ТУ","1","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Гринатом»","119017, г. Москва, ул. Большая Ордынка, д. 24, (499) 949-4919",""
"4960","2025-07-25","2030-07-25","средство обнаружения целевых атак «Xello Deception»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «КСЕЛЛО»","127549, г. Москва, Алтуфьевское ш., д. 64, к. № 49, пом. 1/1",""
"4961","2025-07-25","Бессрочно","прикладное программное обеспечение государственной информационной системы «Реестр домовладений»","Соответствует требованиям документов: Требования доверия(6), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","ГКУ «Инфогород»","123112, г. Москва, 1-й Красногвардейский проезд, д. 21, стр. 1, (495) 957-0131",""
"4962","2025-08-05","2030-08-05","программное обеспечение «Платформа «ТУРБО X PRO»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «Лаборатория ППШ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО ""КОНСИСТ""","129075, г. Москва, Мурманский проезд, д. 14, корп. 1, литера А, этаж 2, комн. 56, +7 495 721 19 38",""
"4964","2025-08-19","2030-08-19","комплекс программного обеспечения (платформа) «Security Vision: Центр интеллектуального мониторинга и управления информационной безопасностью» (версия 5.х NG)","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Интеллектуальная безопасность»","115035, г. Москва, вн.тер.г. муниципальный округ Замоскворечье, ул. Садовническая, д. 57, стр. 2, эт. 1, пом. III",""
"4966","2025-08-25","Бессрочно","Автоматизированная информационная система «Архивное дело ОП»","Соответствует требованиям документов: Требования доверия(4), ТУ","2","АО «НПО «Эшелон»","АО «Лаборатория ППШ»","Генеральная прокуратура Российской Федерации","125993, г. Москва, ул. Большая Дмитровка, д. 15, (495) 627-0212",""
"4967","2025-08-22","2030-08-22","прикладное программное обеспечение «Адаптер единого электронного сервиса СМЭВ»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО «КБ-Лаб»","ФСТЭК России","ООО «ИТ1-РТК»","129085, г. Москва, ул. Годовикова, д. 9, стр. 17, эт. 6, помещ. 5",""
"4968","2025-08-25","2030-08-25","программное обеспечение «Платформа Q.Security»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО НПП «ЭПБ»","АО «НПО «Эшелон»","ООО «Диасофт Экосистема»","127018, г. Москва, ул. Полковая, д. 3, стр. 14, этаж 5, комната 510, 7 (495) 780-75-75",""
"4969","2025-08-26","2030-08-26","программа для ЭВМ «Система централизованного управления событиями информационной безопасности RuSIEM» 2.х","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «РуСИЕМ»","121205, г. Москва, Территория Сколково Инновационного центра, ул. Большой б-р, д. 42, стр. 1, эт. 4, часть пом. 1485, (495) 748-8311",""
"4970","2025-08-27","2030-08-27","многофункциональный межсетевой экран «Русплатформа версии R81.20»","Соответствует требованиям документов: Требования доверия(6), ТУ, Требования к МЭ NGFW(6)","серия","ООО НТЦ «Фобос-НТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Русплатформа»","129626, г. Москва, ул. Староалексеевская,д. 5, эт. 4А, пом. 450, 495-960-16-50, 89162814696",""
"4971","2025-09-05","2030-09-05","Микропрограммное обеспечение «Татлин-Юнифайд»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «КНС ГРУПП»","123376, г. Москва, ул. Рочдельская, д. 15, стр. 15, (495) 540-5055",""
"4972","2025-09-04","2030-09-04","программное обеспечение «Рутокен KeyBox» версия 7.0","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «НПО «Эшелон»","АО Центр «Атомзащитаинформ»","АО «Актив-софт»","115088, г. Москва, ул. Шарикоподшипниковская, д. 1, этаж 4, пом. IX, комн. 11, (495) 925-7790","2030-09-04"
"4973","2025-09-09","2030-09-09","программно-аппаратный комплекс «С-Терра Шлюз». Версия 5.0","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(А четвертого класса защиты. ИТ.МЭ.А4.ПЗ)","серия","ЗАО ГИЦ ПС ВТ","ООО «ЦБИ»","ООО «С-Терра СиЭсПи»","124460, г. Москва, вн.тер.г. муниципальный округ Силино, г. Зеленоград, ул. Конструктора Лукина, д. 14, стр. 12, (499) 940-9061",""
"4974","2025-09-10","2030-09-10","сервис «Операционная система «Московской электронной школы»","Соответствует требованиям документов: Требования доверия(5), Требования к ОС, Профиль защиты ОС(А пятого класса защиты. ИТ.ОС.А5.ПЗ)","серия","АО НПП «ЭПБ»","ФСТЭК России","ГКУ «Инфогород»","123112, г. Москва, 1-й Красногвардейский проезд, д. 21, стр. 1, (495) 957-0131",""
"4975","2025-09-11","2030-09-11","программный комплекс «Синоникс»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО НПП «ЭПБ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «АйТи Бастион»","119501, г. Москва, вн.тер.г. муниципальный округ Очаково-Матвеевский, ул. Староволынская, д. 15, корп. 1, помещ. 43, (499) 322-3667",""
"4976","2025-09-17","Бессрочно","прикладное программное обеспечение информационно-аналитической системы «Учетно-заградительная система-М»","Соответствует требованиям документов: Требования доверия(4), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","Департамент информационных технологий города Москвы","123112, г. Москва, Красногвардейский 1-й проезд, д. 21, стр. 1, (495) 957-0131",""
"4977","2025-09-18","2030-09-18","операционная система «МСВСфера»","Соответствует требованиям документов: Требования доверия(4), Требования к ОС, Профиль защиты ОС(А четвертого класса защиты. ИТ.ОС.А4.ПЗ), Требования к средствам контейнеризации(4), Требования к средствам виртуализации(4)","серия","АО НПП «ЭПБ»","АО «НПО «Эшелон»","ООО «НЦПР»","125009, г. Москва, ул. Моховая, д. 11, стр. 13, эт. 2",""
"4978","2025-09-22","2030-09-22","микропрограммное обеспечение вычислительных систем и систем хранения данных на архитектуре x86-64 - YADRO Platform Firmware.UEFI","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «КНС ГРУПП»","123376, г. Москва, ул. Рочдельская, д. 15, стр. 15, (495) 540-5055",""
"4979","2025-09-22","2030-09-22","программное обеспечение «Облачная платформа Cloud.ru Evolution Stack»","Соответствует требованиям документов: Требования доверия(4), ТУ, Требования к средствам контейнеризации(4), Требования к средствам виртуализации(4)","серия","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Облачные технологии»","117312, г. Москва, ул. Вавилова, д. 23, стр. 1, ком. 1.207",""
